,83A,82A,81A,87A,143F,143E,143A,143G,97A,86A,88A,144A,85A,89A,95A,93A,92A,96A,90A,94A,90C,144B,144L,84A,144S,91A,144D,144J,144K,144I,144H,144R,144P,144Q,90B
orh,1,1,1.0,2.0,4.0,2.0,14.0,1.0,2.0,2.0,2.0,18.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,,16.0,3.0,11.0,1.0,,,,,,6.0,4.0,4.0,
ond,2,2,7.0,,4.0,3.0,15.0,4.0,,3.0,1.0,21.0,5.0,,,1.0,3.0,5.0,3.0,1.0,,3.0,,6.0,,1.0,,,,,,,,,
mau,2,1,2.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,,1.0,,2.0,2.0,7.0,4.0,1.0,4.0,,,,
coo,3,2,7.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,,,6.0,,1.0,,,,,,,,,
imo,1,1,,2.0,4.0,1.0,1.0,4.0,2.0,1.0,6.0,21.0,1.0,2.0,1.0,,,5.0,7.0,,,,18.0,,,3.0,,,,,,,,,3.0
lav,1,1,1.0,2.0,3.0,4.0,10.0,4.0,2.0,1.0,,16.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,5.0,,4.0,15.0,3.0,7.0,,,,,,,8.0,4.0,4.0,
eve,1,1,1.0,1.0,2.0,1.0,14.0,4.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,,3.0,16.0,,6.0,1.0,,,,,,5.0,4.0,4.0,1.0
ame,1,1,1.0,2.0,2.0,1.0,15.0,4.0,2.0,1.0,2.0,19.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,17.0,3.0,4.0,2.0,,,,,,3.0,4.0,2.0,
aeg,2,1,2.0,2.0,2.0,3.0,15.0,4.0,4.0,2.0,2.0,19.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,,1.0,,2.0,15.0,6.0,4.0,7.0,4.0,,,,
yim,1,1,,3.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,20.0,1.0,,1.0,,,,,,,,20.0,6.0,,,,,,,,,,,
sla,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,5.0,7.0,5.0,3.0,4.0,4.0,3.0,1.0,,,,,,,8.0,4.0,4.0,
ala,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,,,3.0,3.0,6.0,11.0,2.0,,,,,,1.0,4.0,4.0,1.0
lan,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,4.0,1.0,,1.0,3.0,,1.0,,,2.0,7.0,4.0,1.0,4.0,,,,
hmo,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,,,,2.0,2.0,7.0,4.0,1.0,4.0,,,,
